Event,Start Time,End Time,Location,Type
Contest HQ/Test Distribution (Hilton),6:30 AM,5:00 PM,Hilton Gunston,Event
Contest HQ/Test Distribution (Omni),6:30 AM,5:00 PM,Omni Executive Room,Event
Judge's/Administrators Breakfast Orientation,7:00 AM,8:00 AM,Omni Empire Room,Event
Administrator's/Proctors/Grader's Orientation,7:00 AM,8:00 AM,Omni Regency Ballroom,Event
State Officers Breakfast,7:00 AM,9:00 AM,Hilton International Ballroom,Event
Tour Desk,7:00 AM,2:00 PM,Hilton Concorse Foyer,Event
"Registration/Information/Finance Desk: All PS chapters, IA (S), ID (S), IL (S), OH (S), OK (S/ML)",7:00 AM,3:00 PM,Omni Registration Desk West,Event
"Registration/Information/Finance Desk: AK (S), DE (S/ML), FL (S/ML), IN (S), KS (S), MA (S), MI (S), MN(S), MT (S), NM (S/ML), TX (S/ML)",7:00 AM,3:00 PM,Hilton Concorse Foyer,Event
Secondary Written Event Reschedule Testing Room,7:00 AM,9:00 PM,Hilton Cardozo,Contest
Intern Orientation (Hilton),8:00 AM,9:00 AM,Hilton Oak Lawn,Event
Intern Orientation (Omni),8:00 AM,9:00 AM,Omni Regency Ballroom,Event
Network Administration Using Microsoft (S),8:00 AM,9:00 AM,Hilton Columbia Hall 1 & 2,Contest
Financial Snalyst Team (S),8:00 AM,10:00 AM,Hilton Columbia Hall 3 & 4,Contest
Advanced Interview Skills (PS),8:00 AM,12:00 PM,Omni Capitol Room & Omni Embassy Room,Contest
Extemporaneous Speech (PS),8:00 AM,12:00 PM,"Omni Hampton Room, Omni Calvert Room & Omni Governor's Board Room",Contest
Graphic Design Promotion (PS),8:00 AM,12:00 PM,Omni Senate Room,Contest
Human Resource Management (PS),8:00 AM,12:00 PM,"Omni Cabinet Room, Omni Council Room & Omni Forum Room",Contest
Interview Skills (PS),8:00 AM,12:00 PM,Omni Congresional Room A & Omni Congressional Room B,Contest
Presentation Management Team (PS),8:00 AM,12:00 PM,Omni President's Boardroom,Contest
Web Application Team (PS),8:00 AM,12:00 PM,Omni Committee Room,Contest
